ShipName, Damage, Hit, Pierced, Penetrated, Received
F FF Null, 2.01333333333333, 1.42986111111111, 1.26319444444444, 1.25369027777778, 0.833333333333333
F FF Null, 2.01055555555556, 1.44125, 1.27458333333333, 1.26487638888889, 0.833333333333333
F FF Null, 2.14791666666667, 1.45291666666667, 1.28625, 1.27619583333333, 0.833333333333333
F FF Null, 2.00527777777778, 1.42402777777778, 1.25736111111111, 1.24807222222222, 0.833333333333333
F FF Null, 2.02472222222222, 1.39583333333333, 1.22916666666667, 1.21980972222222, 0.833333333333333
F FF Null, 2.02722222222222, 1.42375, 1.25708333333333, 1.24753055555556, 0.833333333333333
F FF Null, 2.03472222222222, 1.38236111111111, 1.21569444444444, 1.20643472222222, 0.833333333333333
F FF Null, 2.0375, 1.40263888888889, 1.23597222222222, 1.22659444444444, 0.833333333333333
F FF Null, 2.1025, 1.44777777777778, 1.28111111111111, 1.27144027777778, 0.833333333333333
G FF EVD, 2.45055555555556, 1.43611111111111, 1.26944444444444, 1.2596625, 0.833333333333333
G FF EVD, 2.31847222222222, 1.43291666666667, 1.26625, 1.25683055555556, 0.833333333333333
G FF EVD, 2.14361111111111, 1.35611111111111, 1.18944444444444, 1.18069166666667, 0.833333333333333
G FF EVD, 2.29388888888889, 1.43583333333333, 1.26916666666667, 1.2597625, 0.833333333333333
G FF EVD, 2.32152777777778, 1.41930555555556, 1.25263888888889, 1.24301666666667, 0.833333333333333
G FF EVD, 2.27430555555556, 1.40138888888889, 1.23472222222222, 1.22545277777778, 0.833333333333333
G FF EVD, 2.23819444444444, 1.40916666666667, 1.2425, 1.23327083333333, 0.833333333333333
G FF EVD, 2.33222222222222, 1.40402777777778, 1.23736111111111, 1.22826111111111, 0.833333333333333
G FF EVD, 2.37611111111111, 1.42222222222222, 1.25555555555556, 1.24611805555556, 0.833333333333333
G FF EVD, 2.33638888888889, 1.42291666666667, 1.25625, 1.24654722222222, 0.833333333333333
H FF PROT, 2.06444444444444, 1.50041666666667, 1.33375, 1.20763194444444, 0.833333333333333
H FF PROT, 2.28277777777778, 1.53194444444444, 1.36527777777778, 1.23040277777778, 0.833333333333333
H FF PROT, 2.21916666666667, 1.52180555555556, 1.35513888888889, 1.21800694444444, 0.833333333333333
H FF PROT, 2.25083333333333, 1.53375, 1.36708333333333, 1.22968055555556, 0.833333333333333
H FF PROT, 2.25722222222222, 1.54847222222222, 1.38180555555556, 1.24640694444444, 0.833333333333333
H FF PROT, 2.15458333333333, 1.51986111111111, 1.35319444444444, 1.22176805555556, 0.833333333333333
H FF PROT, 2.17555555555556, 1.51055555555556, 1.34388888888889, 1.21211944444444, 0.833333333333333
H FF PROT, 2.09722222222222, 1.51027777777778, 1.34361111111111, 1.21399027777778, 0.833333333333333
H FF PROT, 2.20319444444444, 1.48138888888889, 1.31472222222222, 1.18811666666667, 0.833333333333333
H FF PROT, 2.11902777777778, 1.51083333333333, 1.34416666666667, 1.21402222222222, 0.833333333333333
I FF Shield, 1.95679012345679, 1.37654320987654, 1.11728395061728, 1.10792345679012, 0.740740740740741
I FF Shield, 1.95876543209877, 1.36913580246914, 1.10987654320988, 1.10084691358025, 0.740740740740741
I FF Shield, 2.02518518518518, 1.38814814814815, 1.12888888888889, 1.11907777777778, 0.740740740740741
I FF Shield, 1.93728395061728, 1.38641975308642, 1.12716049382716, 1.11768641975309, 0.740740740740741
I FF Shield, 2.03160493827161, 1.37987654320988, 1.12061728395062, 1.1114012345679, 0.740740740740741
I FF Shield, 1.91925925925926, 1.34567901234568, 1.08641975308642, 1.07747037037037, 0.740740740740741
